userId;movieId;isSeen;watchDate;userElicitRating;userPredictRating;userCertainty;tstamp;movie_idx;source;systemPredictRating
368597;48774;-1;NULL;-1;-1;-1;2024-01-17 11:29:18.000;10;1;379745774600192
368688;48774;-1;NULL;-1;-1;-1;2024-02-04 03:27:03.000;11;1;354229709438976
369337;48774;-1;NULL;-1;-1;-1;2024-04-28 20:58:10.000;13;1;428867953098752
369928;48774;-1;NULL;-1;-1;-1;2023-08-24 14:36:52.000;5;2;488563804209152
369945;48774;-1;NULL;-1;-1;-1;2023-08-07 16:55:01.000;5;1;399928799002624
370421;48774;-1;NULL;-1;-1;-1;2023-11-27 04:13:39.000;8;2;376589980270592
370617;48774;-1;NULL;-1;-1;-1;2024-01-22 19:10:20.000;10;1;340485646319616
370732;48774;-1;NULL;-1;-1;-1;2023-08-04 13:37:42.000;5;1;496640825753600
370919;48774;-1;NULL;-1;-1;-1;2023-04-14 07:14:01.000;1;2;426166485778432
370919;48774;-1;NULL;-1;-1;-1;2023-10-07 16:25:56.000;7;2;426296207212544
371079;48774;-1;NULL;-1;-1;-1;2023-12-17 10:23:22.000;9;1;445235469484032
371488;48774;-1;NULL;-1;-1;-1;2023-10-14 21:42:27.000;7;1;351494352142336
371616;48774;-1;NULL;-1;-1;-1;2024-03-03 00:25:31.000;12;1;443550131027968
371637;48774;-1;NULL;-1;-1;-1;2023-10-26 21:51:53.000;7;2;412356387536896
371778;48774;-1;NULL;-1;-1;-1;2023-03-25 10:32:23.000;0;2;437899363352576
372143;48774;-1;NULL;-1;-1;-1;2024-04-25 10:33:11.000;13;1;403050334257152
372346;48774;-1;NULL;-1;-1;-1;2023-12-03 21:40:22.000;9;2;461157081022464
372524;48774;-1;NULL;-1;-1;-1;2023-06-01 02:10:31.000;2;2;44064749649920
372524;48774;-1;NULL;-1;-1;-1;2023-06-25 03:12:49.000;3;2;440605696065536
372524;48774;-1;NULL;-1;-1;-1;2023-08-08 01:45:11.000;5;2;410086665093120
372586;48774;-1;NULL;-1;-1;-1;2023-12-01 20:16:34.000;9;2;403666158747648
372586;48774;-1;NULL;-1;-1;-1;2024-03-24 12:12:28.000;12;2;401756072706048
372724;48774;-1;NULL;-1;-1;-1;2023-06-28 14:59:04.000;3;2;37997919600640
372826;48774;-1;NULL;-1;-1;-1;2023-10-06 22:26:20.000;7;1;39722390913024
373042;48774;-1;NULL;-1;-1;-1;2023-09-09 16:37:41.000;6;2;37916986310656
373090;48774;1;2021-10-22 00:00:00.000;35;0;0;2023-10-16 04:21:58.000;7;1;397121031241728
373219;48774;-1;NULL;-1;-1;-1;2024-01-15 13:46:29.000;10;1;343796327907328
373266;48774;-1;NULL;-1;-1;-1;2024-03-17 15:52:09.000;12;1;436799348408320
373390;48774;-1;NULL;-1;-1;-1;2023-12-07 05:47:39.000;9;2;442225670488064
373746;48774;-1;NULL;-1;-1;-1;2023-10-15 13:56:19.000;7;1;386077831462912
373747;48774;-1;NULL;-1;-1;-1;2023-03-20 17:08:25.000;0;2;367485790453760
373747;48774;-1;NULL;-1;-1;-1;2023-08-30 23:29:47.000;5;2;374768511483904
373747;48774;-1;NULL;-1;-1;-1;2023-10-31 13:19:38.000;7;2;374807300407296
373777;48774;-1;NULL;-1;-1;-1;2024-03-03 07:22:20.000;12;2;408762774978560
373801;48774;-1;NULL;-1;-1;-1;2023-04-08 18:32:30.000;1;2;452391019216896
373801;48774;-1;NULL;-1;-1;-1;2023-04-08 18:34:46.000;1;2;452391019216896
373823;48774;-1;NULL;-1;-1;-1;2023-12-29 21:02:45.000;9;1;379856269344768
373832;48774;-1;NULL;-1;-1;-1;2024-03-09 11:49:54.000;12;1;399224726355968
373846;48774;-1;NULL;-1;-1;-1;2023-04-16 13:57:52.000;1;2;346120911847424
373999;48774;-1;NULL;-1;-1;-1;2023-11-17 04:33:04.000;8;1;413294267465728
374068;48774;-1;NULL;-1;-1;-1;2023-09-20 03:54:27.000;6;1;408196309057536
374290;48774;-1;NULL;-1;-1;-1;2023-09-30 03:04:11.000;6;1;346547254460416
374302;48774;-1;NULL;-1;-1;-1;2023-03-21 03:56:18.000;0;2;431233943207936
374302;48774;-1;NULL;-1;-1;-1;2023-05-11 04:48:17.000;2;2;423921929158656
374302;48774;-1;NULL;-1;-1;-1;2023-05-26 04:43:43.000;2;2;447611626586112
374302;48774;-1;NULL;-1;-1;-1;2023-06-03 04:43:40.000;3;2;423064747638784
374302;48774;-1;NULL;-1;-1;-1;2023-06-11 07:03:28.000;3;2;423047701987328
374302;48774;-1;NULL;-1;-1;-1;2023-06-16 20:22:06.000;3;2;423037233004544
374302;48774;-1;NULL;-1;-1;-1;2023-07-23 23:22:28.000;4;2;423029515485184
374302;48774;-1;NULL;-1;-1;-1;2023-08-05 07:38:54.000;5;2;418995131908096
374302;48774;-1;NULL;-1;-1;-1;2023-08-09 20:34:01.000;5;2;41899800920064
374302;48774;-1;NULL;-1;-1;-1;2023-12-15 06:40:54.000;9;2;421752836456448
374302;48774;-1;NULL;-1;-1;-1;2024-01-09 08:12:51.000;10;2;421793336655872
374302;48774;-1;NULL;-1;-1;-1;2024-01-10 04:21:56.000;10;2;421804174737408
374302;48774;-1;NULL;-1;-1;-1;2024-01-14 04:27:23.000;10;2;421826991751168
374302;48774;-1;NULL;-1;-1;-1;2024-01-27 07:42:51.000;10;2;421835682349056
374302;48774;-1;NULL;-1;-1;-1;2024-02-04 00:53:58.000;11;2;421800081096704
374434;48774;-1;NULL;-1;-1;-1;2023-05-27 21:16:12.000;2;2;382315742101504
374434;48774;-1;NULL;-1;-1;-1;2024-02-03 23:35:52.000;11;2;384779409162240
374923;48774;-1;NULL;-1;-1;-1;2023-04-13 00:02:09.000;1;2;412928423493632
375220;48774;-1;NULL;-1;-1;-1;2023-06-14 19:40:09.000;3;2;34954062856192
375276;48774;-1;NULL;-1;-1;-1;2023-07-13 09:35:27.000;4;2;370516560969728
375276;48774;-1;NULL;-1;-1;-1;2023-07-24 07:08:24.000;4;2;370531727572992
375327;48774;-1;NULL;-1;-1;-1;2023-08-03 23:41:43.000;5;1;371167751831552
375387;48774;-1;NULL;-1;-1;-1;2023-07-19 19:08:54.000;4;2;42789391826944
375533;48774;-1;NULL;-1;-1;-1;2023-08-10 16:34:40.000;5;2;402583961206784
375533;48774;-1;NULL;-1;-1;-1;2023-08-10 17:10:18.000;5;1;395937767751680
375613;48774;-1;NULL;-1;-1;-1;2023-04-16 22:11:20.000;1;2;400980428455936
375613;48774;-1;NULL;-1;-1;-1;2023-06-03 21:25:13.000;3;2;398659501948928
375613;48774;-1;NULL;-1;-1;-1;2023-06-07 02:46:59.000;3;2;39979719852032
375613;48774;-1;NULL;-1;-1;-1;2023-07-11 03:15:37.000;4;2;404067872407552
375613;48774;-1;NULL;-1;-1;-1;2023-08-01 05:47:03.000;5;2;40160498548736
375613;48774;-1;NULL;-1;-1;-1;2023-08-12 22:54:21.000;5;2;405281871757312
375613;48774;-1;NULL;-1;-1;-1;2023-08-15 23:23:46.000;5;2;405626542882816
375613;48774;-1;NULL;-1;-1;-1;2023-11-12 23:27:05.000;8;2;404318993776640
375613;48774;-1;NULL;-1;-1;-1;2023-11-16 06:47:19.000;8;2;406742697508864
375613;48774;-1;NULL;-1;-1;-1;2024-01-01 03:36:33.000;10;2;405758210473984
375613;48774;-1;NULL;-1;-1;-1;2024-01-03 10:19:09.000;10;2;404658128420864
375613;48774;-1;NULL;-1;-1;-1;2024-02-11 21:58:29.000;11;2;406764273008640
375613;48774;-1;NULL;-1;-1;-1;2024-02-15 21:52:22.000;11;2;405981682991104
375613;48774;-1;NULL;-1;-1;-1;2024-03-01 10:11:49.000;12;2;404928577142784
375613;48774;-1;NULL;-1;-1;-1;2024-03-31 04:12:13.000;12;2;406607406039040
375613;48774;-1;NULL;-1;-1;-1;2024-04-12 04:39:45.000;13;1;405735024361472
375613;48774;-1;NULL;-1;-1;-1;2024-04-26 04:16:58.000;13;2;405785523781632
375660;48774;-1;NULL;-1;-1;-1;2024-02-24 02:28:27.000;11;2;434934258860032
375715;48774;-1;NULL;-1;-1;-1;2024-02-09 00:34:13.000;11;1;416637463298048
375741;48774;-1;NULL;-1;-1;-1;2024-03-17 22:48:37.000;12;1;396263245742080
375778;48774;-1;NULL;-1;-1;-1;2023-07-31 04:24:28.000;4;1;397405304389632
376550;48774;-1;NULL;-1;-1;-1;2023-11-21 20:16:55.000;8;1;347339239718912
377023;48774;-1;NULL;-1;-1;-1;2024-03-29 01:28:44.000;12;1;340638352539648
377047;48774;-1;NULL;-1;-1;-1;2024-02-01 21:28:56.000;11;1;335732795244544
377071;48774;-1;NULL;-1;-1;-1;2023-09-28 15:23:20.000;6;1;346002364039168
377071;48774;-1;NULL;-1;-1;-1;2024-02-24 18:13:35.000;11;1;342294901293056
377220;48774;-1;NULL;-1;-1;-1;2023-08-03 00:58:29.000;5;2;372487179206656
377220;48774;-1;NULL;-1;-1;-1;2023-12-22 21:52:05.000;9;2;369476709122048
377220;48774;-1;NULL;-1;-1;-1;2024-04-08 03:19:54.000;13;1;369441242087424
377254;48774;-1;NULL;-1;-1;-1;2024-02-06 20:09:47.000;11;1;359736125947904
377378;48774;-1;NULL;-1;-1;-1;2023-07-15 01:54:39.000;4;2;42520952176640
377795;48774;-1;NULL;-1;-1;-1;2024-01-04 15:14:52.000;10;1;395126891347968
377956;48774;-1;NULL;-1;-1;-1;2024-02-03 00:51:23.000;11;2;440255220023296
